ID,ID2,GMT_DATE,StudySite,Site,Year,Stage,julian,primeRdRast,SecondRdRast,Open,Decid,Water,Pine,Mix,Shrub,dist_edge,Dist_Access,Dist_Private,total_dist,mean_dist,mean_speed,roost_dist,age,Age,Year_Status,sur,Status,Death,Death_Date,Area50,Area99,dist_core
9518,,5/19/2022,GA,CC,2022,Post_Hunt,,573.5720163,300.8852846,220.5401956,28.1627244,1743.878047,22.00301977,41.96983839,232.9244862,173.7062666,534.9698712,97.38671571,3583.574738,76.24627101,238.9049825,156.1495867,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/20/2022,GA,CC,2022,Post_Hunt,,668.013521,165.9242243,196.1992345,43.23219614,1054.928923,33.96414561,68.89482447,192.6139517,149.8226287,629.6632897,146.6460214,4928.707546,91.27236196,328.5805031,466.5915152,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/21/2022,GA,CC,2022,Post_Hunt,,446.4989424,219.2231266,183.5179392,38.30525279,1074.055196,23.28009998,48.4896442,177.3464322,171.3332704,426.4327678,295.855404,6188.076502,137.5128112,412.5384335,631.6588279,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/22/2022,GA,CC,2022,Post_Hunt,,484.358242,213.1849678,229.2788928,38.33678142,1698.866154,17.74041289,45.23488991,174.5352796,136.429523,444.0159616,62.69385815,4314.694925,98.06124829,287.6463283,515.1548101,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/23/2022,GA,CC,2022,Post_Hunt,,877.5801392,47.34731116,164.5083086,97.43237769,1279.661598,12.35102977,96.3252491,164.5650865,222.6979718,792.6497382,41.42989984,3065.159119,66.6338939,204.3439413,189.1080794,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/24/2022,GA,CC,2022,Post_Hunt,,506.0315317,175.3886108,196.5748288,51.95428573,1498.730431,16.65176914,63.27227688,170.0414806,135.3574818,481.4806524,125.8431971,5249.189775,93.73553169,349.945985,181.1966786,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/25/2022,GA,CC,2022,Post_Hunt,,729.9186638,200.4253259,220.5644003,76.05849131,1488.085594,6.016135569,81.62119615,187.1157894,201.9196984,662.0594326,85.98991542,3347.131771,107.9719926,223.1421181,328.4216871,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/26/2022,GA,CC,2022,Post_Hunt,,895.4639428,46.86587988,179.4489231,93.16661066,1271.493801,7.51371698,93.2050952,207.7607817,246.1781101,802.5697953,47.58409923,2763.224393,60.07009551,184.2149596,88.84071811,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/27/2022,GA,CC,2022,Post_Hunt,,825.45179,60.00807756,157.6476677,97.41233294,1263.184267,14.03601147,96.95200363,160.8473333,180.3910616,747.3424392,49.82664565,3600.050531,76.5968198,240.0033687,45.33340489,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/28/2022,GA,CC,2022,Post_Hunt,,732.9652314,99.02999778,160.025753,73.12464755,1270.354245,12.30743476,66.39328039,106.4758475,95.01708008,666.3419629,40.88594003,3900.540005,82.99021287,260.0360003,376.1927979,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/29/2022,GA,CC,2022,Post_Hunt,,326.4848619,177.4913911,226.5040785,43.24604651,1710.109263,21.92341816,61.24571046,135.5994133,67.14368979,296.3671633,99.02646076,4055.677012,84.49327109,270.3784675,525.3068986,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/30/2022,GA,CC,2022,Post_Hunt,,810.4274487,86.34437937,166.9938367,66.09906949,1160.781327,17.37442932,68.46307487,171.7087167,173.0527819,743.924939,76.19767474,3164.275263,67.32500559,210.9516842,119.4194946,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/31/2022,GA,CC,2022,Post_Hunt,,819.3740939,60.04304992,131.6294888,107.6945662,1191.260191,9.925869973,101.3630084,124.6317857,106.013793,744.5036477,27.7181116,1961.153437,37.71448917,130.7435625,107.0527162,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/1/2022,GA,CC,2022,Post_Hunt,,633.2923254,182.2420687,214.2972618,71.6127327,1480.515878,10.56785268,98.32237435,119.0112318,87.43146818,571.5639259,30.49001071,2690.150325,54.90102704,179.343355,360.4822719,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/2/2022,GA,CC,2022,Post_Hunt,,805.002531,107.7033434,178.1057015,69.81531066,1375.888501,11.93591092,69.81462187,202.1391687,241.9719015,732.1169188,70.6466644,3509.646333,74.67332622,233.9764222,433.6085908,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/3/2022,GA,CC,2022,Post_Hunt,,873.6850122,60.3858388,164.2872807,91.82949403,1274.164958,9.157276799,96.31414675,176.9532129,239.0500545,786.8115333,54.52183221,2993.144515,65.06835902,199.5429677,102.7459475,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/4/2022,GA,CC,2022,Post_Hunt,,820.9287121,92.5476297,152.2962146,78.60026711,1283.885089,6.948339383,75.30030535,153.0649352,246.8589524,750.3381363,93.28999253,4103.046595,75.98234435,273.5364397,203.1968586,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/5/2022,GA,CC,2022,Post_Hunt,,748.1769857,85.40725291,133.0957529,56.26085387,1119.531438,14.20171894,63.74546114,105.6529715,88.36839453,690.2038845,52.76092263,3883.0986,82.61911915,258.87324,102.8814863,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/6/2022,GA,CC,2022,Post_Hunt,,701.0063283,86.34107901,127.4968935,72.75091696,1072.730805,23.14712661,77.07337279,132.5938194,100.1875032,660.3836651,76.49916946,3770.323957,72.50622994,251.3549305,122.9776526,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/7/2022,GA,CC,2022,Post_Hunt,,861.4046619,74.35011925,170.6378578,76.69182358,1284.335112,13.80505783,80.51711922,165.9448795,243.5081763,784.2464524,68.2665972,3582.370665,68.89174355,238.824711,72.49924986,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/8/2022,GA,CC,2022,Post_Hunt,,788.2193944,75.56698556,159.9421494,69.55423779,1138.981501,16.3318002,75.27584972,153.4909917,135.5042718,728.4245033,60.93339432,3612.787728,84.01831926,240.8525152,232.4388706,2,A,Live,,Live,Live,,NA,NA,NA
